단어	품사	뜻	발음기호	예문1	예문1 해석	예문2	예문2 해석	메모
fictitious	adjective	허구의, 가상의	/fɪkˈtɪʃəs/	The story is fictitious.	그 이야기는 허구이다.	Use a fictitious name.	가명을 사용하라.	
render	verb	~한 상태로 만들다	/ˈrendər/	The accident rendered the car useless.	사고로 차를 못 쓰게 되었다.	The software renders images quickly.	그 소프트웨어는 이미지를 빠르게 렌더링한다.	
isothermal	adjective	등온의	/ˌaɪsəˈθɜːrməl/	The process is isothermal.	그 과정은 등온 과정이다.	Isothermal expansion keeps temperature constant.	등온 팽창은 온도를 일정하게 유지한다.	
adiabatic	adjective	단열의	/ˌædiəˈbætɪk/	Adiabatic compression increases temperature.	단열 압축은 온도를 상승시킨다.	The system is assumed to be adiabatic.	그 계는 단열이라고 가정한다.	
applicability	noun	적용 가능성	/əˌplɪkəˈbɪləti/	The applicability of the method was verified.	그 방법의 적용 가능성을 검증했다.	This rule has limited applicability.	이 규칙은 적용 범위가 제한적이다.	
in scope	phrase	범위 내의	/ɪn skoʊp/	This issue is in scope.	이 문제는 범위 내에 있다.	The request is not in scope.	그 요청은 범위 밖이다.	
backlash	noun	반발, 역풍	/ˈbækˌlæʃ/	The decision caused public backlash.	그 결정은 대중의 반발을 불러왔다.	The company faced a backlash.	회사는 거센 역풍을 맞았다.	
compactly	adverb	빽빽하게, 조밀하게	/kəmˈpæktli/	The atoms are compactly arranged.	원자들이 조밀하게 배열되어 있다.	The files were packed compactly.	파일들이 빽빽하게 정리되었다.	
explicitly	adverb	명확하게, 분명하게	/ɪkˈsplɪsɪtli/	The instructions were explicitly stated.	지침이 명확하게 제시되었다.	He explicitly agreed.	그는 분명히 동의했다.	
polynomial	adjective,noun	다항식의; 다항식	/ˌpɑːliˈnoʊmiəl/	This is a polynomial equation.	이것은 다항식 방정식이다.	Solve the polynomial.	다항식을 풀어라.	
cascade	noun	작은 폭포; 연쇄	/kæˈskeɪd/	A small cascade flowed down the hill.	작은 폭포가 언덕을 따라 흘렀다.	The error caused a cascade of failures.	오류가 연쇄적인 실패를 일으켰다.	
microstructure	noun	미세구조	/ˈmaɪkroʊˌstrʌktʃər/	The steel's microstructure was analyzed.	강의 미세구조를 분석했다.	Heat treatment changes the microstructure.	열처리는 미세구조를 변화시킨다.	
alloy	noun	합금	/ˈælɔɪ/	Steel is an alloy.	강은 합금이다.	The alloy has high strength.	그 합금은 강도가 높다.	
wear resistance	noun	내마모성	/wer rɪˈzɪstəns/	This coating improves wear resistance.	이 코팅은 내마모성을 향상시킨다.	The material has excellent wear resistance.	그 재료는 내마모성이 뛰어나다.	
composition	noun	조성, 구성	/ˌkɑːmpəˈzɪʃən/	The chemical composition was measured.	화학 조성을 측정했다.	The alloy composition affects strength.	합금 조성은 강도에 영향을 준다.	
ferrous	adjective	철의, 철을 포함한	/ˈferəs/	Ferrous metals can rust.	철계 금속은 녹이 슬 수 있다.	This is a ferrous alloy.	이것은 철계 합금이다.	
lamella	noun	박판, 얇은 층	/ləˈmelə/	The lamella structure was observed.	얇은 층 구조가 관찰되었다.	The crystal contains fine lamellae.	그 결정은 미세한 박판 구조를 가진다.	
close-packed structure	noun	밀집구조	/ˌkloʊs ˈpækt ˈstrʌktʃər/	The metal has a close-packed structure.	그 금속은 밀집구조를 가진다.	Close-packed structures maximize density.	밀집구조는 밀도를 최대화한다.	
coarse	adjective	거친, 굵은	/kɔːrs/	The grains became coarse.	결정립이 거칠어졌다.	The surface feels coarse.	표면이 거칠게 느껴진다.	
isothermal	adjective	등온의	/ˌaɪsəˈθɜːrməl/	The expansion was isothermal.	팽창은 등온 과정이었다.	Isothermal conditions were maintained.	등온 조건이 유지되었다.	
spherical	adjective	구형의	/ˈsferɪkl/	The particles are spherical.	입자는 구형이다.	A spherical object rolled away.	구형 물체가 굴러갔다.	
conductive	adjective	전도성이 있는	/kənˈdʌktɪv/	Copper is highly conductive.	구리는 전도성이 매우 높다.	The material is electrically conductive.	그 재료는 전기 전도성이 있다.	
propagation	noun	전파, 전파됨	/ˌprɑːpəˈɡeɪʃən/	Crack propagation was observed.	균열 전파가 관찰되었다.	The propagation of heat was slow.	열의 전파는 느렸다.	
interstitial	adjective	사이의, 간극의	/ˌɪntərˈstɪʃl/	Carbon occupies interstitial sites.	탄소는 간극 자리를 차지한다.	Interstitial atoms distort the lattice.	간극 원자는 격자를 변형시킨다.	
gradient	noun	기울기, 변화도	/ˈɡreɪdiənt/	The temperature gradient increased.	온도 구배가 증가했다.	A concentration gradient was formed.	농도 구배가 형성되었다.	
tetragonal	adjective	정사각형의, 정방정계의	/təˈtræɡənl/	The crystal is tetragonal.	그 결정은 정방정계이다.	The phase has a tetragonal structure.	그 상은 정방정 구조를 가진다.	
intermediate	adjective,noun	중간의; 중간 단계	/ˌɪntərˈmiːdiət/	The reaction formed an intermediate.	반응 중간생성물이 생성되었다.	This is an intermediate step.	이것은 중간 단계이다.	
coalesce	verb	합쳐지다, 융합되다	/ˌkoʊəˈles/	The droplets coalesced into one.	물방울들이 하나로 합쳐졌다.	The particles coalesced during heating.	입자들이 가열 중 융합되었다.	
carbide	noun	탄화물	/ˈkɑːrbaɪd/	Tungsten carbide is very hard.	탄화텅스텐은 매우 단단하다.	The carbide improved wear resistance.	탄화물이 내마모성을 향상시켰다.	
dissolve	verb	녹다, 용해되다	/dɪˈzɑːlv/	Salt dissolves in water.	소금은 물에 녹는다.	The solid dissolved completely.	고체가 완전히 용해되었다.	
doorway	noun	출입구	/ˈdɔːrweɪ/	She stood in the doorway.	그녀는 출입구에 서 있었다.	Don't block the doorway.	출입구를 막지 마라.	
identical	adjective	똑같은, 동일한	/aɪˈdentɪkl/	The two bags are identical.	두 가방은 똑같다.	They gave identical answers.	그들은 똑같은 답을 했다.	
driveway	noun	차도, 진입로	/ˈdraɪvweɪ/	A car was parked in the driveway.	차가 진입로에 주차되어 있었다.	Please keep the driveway clear.	진입로를 비워 두세요.	
polish	verb	닦다, 광을 내다	/ˈpɑːlɪʃ/	He polished his shoes.	그는 신발을 닦았다.	Polish the surface until it shines.	표면이 빛날 때까지 닦아라.	
handrail	noun	난간	/ˈhændreɪl/	Hold the handrail when using the stairs.	계단을 이용할 때 난간을 잡아라.	The handrail is made of steel.	난간은 강철로 만들어졌다.	
patio	noun	테라스, 안뜰	/ˈpætioʊ/	We had lunch on the patio.	우리는 테라스에서 점심을 먹었다.	The patio overlooks the garden.	테라스는 정원을 내려다본다.	
portion	noun	부분; 1인분	/ˈpɔːrʃn/	He ate a large portion of pasta.	그는 파스타를 많이 먹었다.	Only a small portion was damaged.	일부만 손상되었다.	
customs form	noun	세관 신고서	/ˈkʌstəmz fɔːrm/	Please fill out the customs form.	세관 신고서를 작성하세요.	Show your customs form to the officer.	세관 직원에게 신고서를 보여 주세요.	
due to	phrase	~ 때문에	/duː tuː/	The flight was delayed due to bad weather.	비행기는 악천후 때문에 지연되었다.	The event was canceled due to rain.	행사는 비 때문에 취소되었다.	
auditorium	noun	강당, 공연장	/ˌɔːdɪˈtɔːriəm/	The lecture was held in the auditorium.	강연은 강당에서 열렸다.	The auditorium was full.	강당은 가득 찼다.	
carry-on	noun	기내 반입 수하물	/ˈkæri ɑːn/	Your carry-on must fit under the seat.	기내 반입 가방은 좌석 아래에 들어가야 한다.	I only brought a carry-on.	나는 기내 반입 가방만 가져왔다.	
overhead compartment	noun	머리 위 수납칸	/ˌoʊvərhed kəmˈpɑːrtmənt/	Put your bag in the overhead compartment.	가방을 머리 위 수납칸에 넣으세요.	The overhead compartment was full.	머리 위 수납칸이 가득 찼다.	
reclaim	verb	되찾다, 찾아가다	/rɪˈkleɪm/	Passengers reclaimed their luggage.	승객들은 짐을 찾아갔다.	We reclaimed the land.	우리는 그 땅을 되찾았다.	
dietary restriction	noun	음식 제한, 식이 제한	/ˈdaɪəteri rɪˈstrɪkʃən/	Do you have any dietary restrictions?	음식 제한이 있으신가요?	Please tell us your dietary restrictions.	식이 제한 사항을 알려 주세요.	
attorney	noun	변호사	/əˈtɜːrni/	She consulted an attorney.	그녀는 변호사와 상담했다.	The attorney prepared the contract.	변호사가 계약서를 작성했다.	
typo	noun	오타	/ˈtaɪpoʊ/	I found a typo in the report.	보고서에서 오타를 발견했다.	Please fix the typo.	오타를 수정해 주세요.	
pier	noun	부두	/pɪr/	The ship arrived at the pier.	배가 부두에 도착했다.	We walked along the pier.	우리는 부두를 따라 걸었다.	
be arranged in rows	phrase	여러 줄로 배열되다	/bi əˈreɪndʒd ɪn roʊz/	The chairs were arranged in rows.	의자들이 여러 줄로 배열되어 있었다.	The books are arranged in rows.	책들이 여러 줄로 정리되어 있다.	
be occupied	phrase	(자리가) 차 있다	/bi ˈɑːkjupaɪd/	All the seats were occupied.	모든 좌석이 차 있었다.	The room is occupied.	그 방은 사용 중이다.	
be taken	phrase	(자리가) 차 있다	/bi ˈteɪkən/	I'm sorry, this seat is taken.	죄송하지만 이 자리는 이미 찼습니다.	All the tables are taken.	모든 테이블이 차 있다.	
be laid end to end	phrase	끝과 끝이 맞닿게 놓이다	/bi leɪd end tə end/	The pipes were laid end to end.	파이프들이 끝과 끝이 맞닿게 놓여 있었다.	The logs were laid end to end.	통나무들이 끝과 끝이 이어져 놓여 있었다.	
overlook	verb	내려다보다	/ˌoʊvərˈlʊk/	The hotel overlooks the sea.	그 호텔은 바다를 내려다본다.	The house overlooks the valley.	그 집은 계곡이 내려다보이는 곳에 있다.	
be tossed about	phrase	(배가) 흔들리다	/bi tɔːst əˈbaʊt/	The boat was tossed about by the waves.	배가 파도에 심하게 흔들렸다.	The ship was tossed about during the storm.	폭풍 동안 배가 심하게 흔들렸다.	
go through the woods	phrase	(길이) 숲속으로 나 있다	/ɡoʊ θruː ðə wʊdz/	The trail goes through the woods.	오솔길이 숲속으로 나 있다.	The road goes through the woods.	길이 숲을 지난다.	
run through the woods	phrase	(길이) 숲속으로 뻗어 있다	/rʌn θruː ðə wʊdz/	A narrow path runs through the woods.	좁은 길이 숲속으로 이어져 있다.	The stream runs through the woods.	시냇물이 숲을 가로질러 흐른다.	
pass through the forest	phrase	(길이) 숲을 지나가다	/pæs θruː ðə ˈfɔːrɪst/	The road passes through the forest.	길이 숲을 지나간다.	We passed through the forest at dawn.	우리는 새벽에 숲을 통과했다.	
be scattered through	phrase	곳곳에 흩어져 있다	/bi ˈskætərd θruː/	Small villages are scattered through the valley.	작은 마을들이 계곡 곳곳에 흩어져 있다.	The islands are scattered throughout the sea.	섬들이 바다 곳곳에 흩어져 있다.	
be completely bare	phrase	(풀·잎 등이) 매우 황량하다	/bi kəmˈpliːtli ber/	The trees were completely bare in winter.	겨울에는 나무에 잎이 하나도 없었다.	The field was completely bare.	들판이 매우 황량했다.	
extend across	verb	~을 가로질러 뻗어 있다	/ɪkˈstend əˈkrɔːs/	The bridge extends across the river.	다리가 강을 가로질러 뻗어 있다.	The fence extends across the field.	울타리가 들판을 가로지른다.	
be deserted	phrase	사람이 없다, 텅 비어 있다	/bi dɪˈzɜːrtɪd/	The streets were deserted.	거리에 사람이 없었다.	The beach was deserted.	해변이 텅 비어 있었다.	
shoreline	noun	해안선	/ˈʃɔːrlaɪn/	The shoreline stretches for miles.	해안선이 수 마일에 걸쳐 이어진다.	We walked along the shoreline.	우리는 해안선을 따라 걸었다.	
auditorium	noun	강당	/ˌɔːdɪˈtɔːriəm/	The concert was held in the auditorium.	공연은 강당에서 열렸다.	The auditorium was packed.	강당은 만원이었다.	
podium	noun	연단	/ˈpoʊdiəm/	The speaker stood at the podium.	연사가 연단에 섰다.	She walked up to the podium.	그녀는 연단으로 걸어갔다.	
page	noun	(책의) 쪽, 페이지	/peɪdʒ/	Turn to page ten.	10쪽을 펴세요.	I bookmarked the page.	그 페이지를 책갈피해 두었다.	
business card	noun	명함	/ˈbɪznəs kɑːrd/	Here's my business card.	제 명함입니다.	She handed me her business card.	그녀가 나에게 명함을 건넸다.	
test tube	noun	시험관	/ˈtest tuːb/	The liquid was poured into a test tube.	액체를 시험관에 넣었다.	The scientist held a test tube.	과학자가 시험관을 들고 있었다.	
instrument	noun	기구, 도구	/ˈɪnstrəmənt/	This instrument measures pressure.	이 기구는 압력을 측정한다.	The surgeon picked up an instrument.	외과의가 기구를 집어 들었다.	
arrange	verb	정리하다, 배열하다	/əˈreɪndʒ/	Arrange the books alphabetically.	책을 가나다순으로 정리해라.	She arranged the flowers.	그녀는 꽃을 정리했다.	
barber	noun	이발사	/ˈbɑːrbər/	I went to the barber.	나는 이발소에 갔다.	The barber cut my hair short.	이발사가 머리를 짧게 잘랐다.	
pulp	noun	과육	/pʌlp/	The orange pulp is sweet.	오렌지 과육은 달다.	Remove the pulp before cooking.	요리 전에 과육을 제거해라.	
rest	verb	놓다; 얹다; 기대다; 휴식하다	/rest/	Rest your hand on the table.	손을 탁자 위에 올려놓아라.	He rested against the wall.	그는 벽에 기대었다.	
wing	noun	별관; 날개	/wɪŋ/	The meeting was held in the east wing.	회의는 동쪽 별관에서 열렸다.	The bird spread its wings.	새가 날개를 펼쳤다.	
panty	noun	여성 팬티	/ˈpænti/	She bought a new pair of panties.	그녀는 새 팬티를 샀다.	The drawer contains underwear and panties.	서랍에는 속옷과 팬티가 들어 있다.	
develop	verb	(필름을) 현상하다; 개발하다	/dɪˈveləp/	I need to develop this roll of film.	이 필름을 현상해야 한다.	The company developed new software.	회사는 새로운 소프트웨어를 개발했다.	
roll of film	noun	필름 한 통	/roʊl əv fɪlm/	I found an old roll of film.	오래된 필름 한 통을 발견했다.	The roll of film was damaged.	필름 한 통이 손상되었다.	
traffic	noun	교통(량)	/ˈtræfɪk/	Traffic is heavy this morning.	오늘 아침 교통량이 많다.	The accident blocked traffic.	사고로 교통이 막혔다.	
bar	noun	막대; 장애물	/bɑːr/	The bar blocked the entrance.	막대가 입구를 막았다.	He jumped over the bar.	그는 장애물을 뛰어넘었다.	
set out	verb	진열되어 있다; 펼쳐 놓다	/set aʊt/	The dishes were set out on the table.	접시들이 식탁 위에 진열되어 있었다.	The goods were neatly set out.	상품들이 가지런히 진열되어 있었다.	
light fixture	noun	조명기구	/laɪt ˈfɪkstʃər/	The light fixture needs to be replaced.	조명기구를 교체해야 한다.	A new light fixture was installed.	새 조명기구가 설치되었다.	
shade	noun	블라인드, 차양	/ʃeɪd/	Pull down the shade.	블라인드를 내려라.	The shade blocks sunlight.	블라인드가 햇빛을 막아 준다.	
have been pulled shut	phrase	닫혀 있다	/hæv bɪn pʊld ʃʌt/	The curtains have been pulled shut.	커튼이 닫혀 있다.	The blinds had been pulled shut.	블라인드가 내려져 있었다.	
adjust	verb	조정하다	/əˈdʒʌst/	Adjust the chair height.	의자 높이를 조절해라.	He adjusted the mirror.	그는 거울을 조정했다.	
spectator	noun	관객, 구경꾼	/ˈspekteɪtər/	The spectators cheered loudly.	관객들이 크게 환호했다.	Many spectators watched the game.	많은 관객이 경기를 관람했다.	
adjourn	verb	휴회하다; 연기하다	/əˈdʒɜːrn/	The meeting was adjourned.	회의가 휴회되었다.	The court adjourned until Monday.	법원은 월요일까지 휴정했다.	
scenery	noun	풍경	/ˈsiːnəri/	The mountain scenery was beautiful.	산 풍경이 아름다웠다.	I enjoyed the scenery on the trip.	여행 중 풍경을 즐겼다.	
carton	noun	판지 상자	/ˈkɑːrtn/	The milk came in a carton.	우유는 종이팩에 담겨 있었다.	Move the carton carefully.	상자를 조심해서 옮겨라.	
stack	verb	(여러 개를) 쌓아 올리다	/stæk/	Stack the boxes neatly.	상자를 가지런히 쌓아라.	The books were stacked on the desk.	책들이 책상 위에 쌓여 있었다.	
run through the field	phrase	(길이) 들판을 가로질러 나 있다	/rʌn θruː ðə fiːld/	A narrow path runs through the field.	좁은 길이 들판을 가로질러 나 있다.	The stream runs through the field.	시냇물이 들판을 가로질러 흐른다.	
rake	verb	갈퀴로 긁어 모으다	/reɪk/	He raked the leaves into a pile.	그는 낙엽을 갈퀴로 긁어 모았다.	Rake the grass after mowing.	잔디를 깎은 뒤 갈퀴질해라.	
be assembled for	phrase	~을 위해 모이다	/bi əˈsembld fɔːr/	The students were assembled for the ceremony.	학생들이 행사를 위해 모였다.	Everyone assembled for the meeting.	모두 회의를 위해 모였다.	
arm in arm	phrase	팔짱을 끼고	/ɑːrm ɪn ɑːrm/	They walked arm in arm.	그들은 팔짱을 끼고 걸었다.	The couple entered arm in arm.	그 커플은 팔짱을 끼고 들어왔다.	
side by side	phrase	나란히	/saɪd baɪ saɪd/	They sat side by side.	그들은 나란히 앉았다.	The houses stand side by side.	집들이 나란히 서 있다.	
sit across from each other	phrase	서로 마주 앉다	/sɪt əˈkrɔːs frəm iːtʃ ˈʌðər/	We sat across from each other.	우리는 서로 마주 앉았다.	They were sitting across from each other.	그들은 서로 마주 보고 앉아 있었다.	
in a line	phrase	한 줄로	/ɪn ə laɪn/	The children stood in a line.	아이들이 한 줄로 섰다.	Please wait in a line.	한 줄로 기다려 주세요.	
cone	noun	원뿔; 원뿔 모양의 것	/koʊn/	The ice cream was served in a cone.	아이스크림이 콘에 담겨 나왔다.	The cone has a circular base.	원뿔은 원형 밑면을 가진다.	
packet	noun	소포; 꾸러미; 봉지	/ˈpækɪt/	She opened a packet of sugar.	그녀는 설탕 봉지를 열었다.	I received a packet in the mail.	나는 우편으로 소포를 받았다.	
directory	noun	주소록; 명부	/dəˈrektəri/	Look up his name in the directory.	주소록에서 그의 이름을 찾아라.	The directory contains all employees.	명부에는 모든 직원이 있다.	
litter	noun,verb	쓰레기; 쓰레기를 버리다	/ˈlɪtər/	Don't leave litter in the park.	공원에 쓰레기를 버리지 마라.	People littered the beach.	사람들이 해변에 쓰레기를 버렸다.	
board	verb	(배·기차·비행기 등에) 타다	/bɔːrd/	We boarded the train.	우리는 기차에 탔다.	Passengers are now boarding.	승객들이 탑승 중이다.	
aboard	adverb,preposition	탑승하여; ~을 타고	/əˈbɔːrd/	Welcome aboard!	탑승을 환영합니다!	Everyone aboard survived.	탑승자 모두가 생존했다.	
address	noun,verb	주소; 연설; 연설하다	/əˈdres/	He gave an address to the audience.	그는 청중에게 연설했다.	Please write your address here.	여기에 주소를 적어 주세요.	
tugboat	noun	예인선	/ˈtʌɡboʊt/	The tugboat pulled the large ship.	예인선이 큰 배를 끌었다.	A tugboat guided the vessel into port.	예인선이 선박을 항구로 안내했다.	
port	noun	항구	/pɔːrt/	The ship arrived at the port.	배가 항구에 도착했다.	The port was busy with cargo ships.	항구는 화물선으로 붐볐다.	
oat	noun	귀리	/oʊt/	Oats are rich in fiber.	귀리는 식이섬유가 풍부하다.	He eats oatmeal made from oats.	그는 귀리로 만든 오트밀을 먹는다.	
petting	noun	애무	/ˈpetɪŋ/	The movie only implied petting.	그 영화는 애무를 암시할 뿐이었다.	Public petting made them uncomfortable.	공공장소에서의 애무는 사람들을 불편하게 했다.	
loaf	noun	(빵의) 한 덩어리	/loʊf/	I bought a loaf of bread.	나는 식빵 한 덩어리를 샀다.	She sliced the loaf.	그녀는 빵 한 덩어리를 썰었다.	
cattle	noun	소(집합명사)	/ˈkætl/	The cattle were grazing.	소들이 풀을 뜯고 있었다.	The farmer owns hundreds of cattle.	그 농부는 수백 마리의 소를 기른다.	
description	noun	묘사; 설명	/dɪˈskrɪpʃən/	His description was accurate.	그의 설명은 정확했다.	The book gives a detailed description.	그 책은 자세한 설명을 제공한다.	
rug	noun	깔개, 양탄자	/rʌɡ/	There is a rug under the table.	탁자 아래에 양탄자가 있다.	The rug kept the floor warm.	양탄자가 바닥을 따뜻하게 유지해 주었다.	
over	preposition	~위에	/ˈoʊvər/	A lamp hangs over the table.	탁자 위에 등이 매달려 있다.	The plane flew over the city.	비행기가 도시 위를 날았다.	
microphone	noun	마이크	/ˈmaɪkrəfoʊn/	Speak into the microphone.	마이크에 대고 말하세요.	The microphone isn't working.	마이크가 작동하지 않는다.	
file the paper	phrase	서류를 철하다, 보관하다	/faɪl ðə ˈpeɪpər/	Please file the papers after signing them.	서명 후 서류를 철해 주세요.	She filed the documents carefully.	그녀는 서류를 꼼꼼히 보관했다.	
tying	noun	매기, 묶기	/ˈtaɪɪŋ/	The tying of the rope took only a minute.	밧줄을 묶는 데 1분밖에 걸리지 않았다.	Proper tying prevents accidents.	올바른 묶기는 사고를 예방한다.	
counterpart	noun	대응물, 상대편, 대응 관계의 사람	/ˈkaʊntərpɑːrt/	I spoke with my counterpart in Japan.	나는 일본의 담당자와 이야기했다.	This machine is the counterpart of the older model.	이 기계는 구형 모델의 대응 모델이다.	
perpendicular	adjective	직각의, 수직의	/ˌpɜːrpənˈdɪkjələr/	The two lines are perpendicular.	두 직선은 서로 수직이다.	Draw a perpendicular line.	수직선을 그려라.	
imprint	noun,verb	흔적, 자국; 새기다	/ɪmˈprɪnt/	The tire left an imprint in the mud.	타이어가 진흙에 자국을 남겼다.	The experience imprinted itself on my memory.	그 경험은 내 기억에 깊이 새겨졌다.	
excess	noun	초과, 과잉	/ɪkˈses/	Excess heat was removed.	과잉 열을 제거했다.	Avoid excess spending.	과도한 지출을 피하라.	
calibrate	verb	보정하다, 눈금을 맞추다	/ˈkælɪbreɪt/	Calibrate the instrument before use.	사용 전에 기기를 보정하라.	The sensor was carefully calibrated.	센서를 정밀하게 보정했다.	
moderate	adjective	보통의, 중간의	/ˈmɑːdərət/	The damage was moderate.	피해는 보통 수준이었다.	Exercise at a moderate pace.	적당한 속도로 운동해라.	
column	noun	기둥, 기둥형 구조	/ˈkɑːləm/	The roof is supported by columns.	지붕은 기둥으로 지탱된다.	A marble column stood at the entrance.	입구에 대리석 기둥이 서 있었다.	
deflect	verb	방향을 바꾸다, 빗나가게 하다	/dɪˈflekt/	The shield deflected the arrow.	방패가 화살의 방향을 바꾸었다.	The mirror deflects light.	거울은 빛을 반사시켜 방향을 바꾼다.	
collimate	verb	평행하게 만들다, 평행광으로 만들다	/ˈkɑːlɪmeɪt/	The lens collimates the laser beam.	렌즈가 레이저 빔을 평행하게 만든다.	The light was collimated before measurement.	빛은 측정 전에 평행광으로 만들어졌다.	
diaphragm	noun	격막; (기계의) 다이어프램	/ˈdaɪəfræm/	The pump uses a flexible diaphragm.	펌프는 유연한 격막을 사용한다.	The diaphragm controls the pressure.	격막이 압력을 조절한다.	
circuit	noun	회로	/ˈsɜːrkɪt/	The circuit was completed.	회로가 완성되었다.	Check the electrical circuit.	전기 회로를 점검해라.	
amplify	verb	증폭시키다	/ˈæmplɪfaɪ/	The amplifier amplifies the signal.	증폭기가 신호를 증폭시킨다.	The microphone amplified her voice.	마이크가 그녀의 목소리를 증폭했다.	
nonporous	adjective	비다공성의	/ˌnɑːnˈpɔːrəs/	Glass is a nonporous material.	유리는 비다공성 재료이다.	Use a nonporous surface.	비다공성 표면을 사용하라.	
gradient	noun	기울기, 구배, 변화도	/ˈɡreɪdiənt/	The temperature gradient was measured.	온도 구배를 측정했다.	A steep gradient increases the flow.	큰 기울기는 흐름을 증가시킨다.	
clog	verb	막히다, 막다	/klɑːɡ/	The drain was clogged with hair.	배수구가 머리카락으로 막혔다.	Fat can clog the pipes.	기름은 배관을 막을 수 있다.	
modulus of elasticity	noun	탄성계수	/ˈmɑːdʒələs əv ɪˌlæˈstɪsəti/	Steel has a high modulus of elasticity.	강철은 탄성계수가 높다.	The modulus of elasticity was measured.	탄성계수를 측정했다.	
intensive	adjective	집약적인	/ɪnˈtensɪv/	The course is intensive.	그 과정은 집중적이다.	Intensive training improved performance.	집중 훈련이 성과를 향상시켰다.	
intensive property	noun	세기성질	/ɪnˈtensɪv ˈprɑːpərti/	Temperature is an intensive property.	온도는 세기성질이다.	Pressure is also an intensive property.	압력도 세기성질이다.	
extensive property	noun	크기성질	/ɪkˈstensɪv ˈprɑːpərti/	Mass is an extensive property.	질량은 크기성질이다.	Volume is an extensive property.	부피는 크기성질이다.	
state	noun	상태	/steɪt/	The material changed its state.	물질의 상태가 변했다.	The system reached equilibrium state.	계는 평형 상태에 도달했다.	
postulate	verb,noun	가정하다; 가설	/ˈpɑːstʃəleɪt/	The theory postulates an ideal condition.	그 이론은 이상적인 조건을 가정한다.	The postulate was later verified.	그 가설은 나중에 검증되었다.	
implicit	adjective	암시된, 내포된	/ɪmˈplɪsɪt/	His approval was implicit.	그의 승인은 암묵적이었다.	The contract contains implicit assumptions.	계약에는 암묵적인 가정이 포함되어 있다.	
reciprocal	adjective	상호간의, 상호의	/rɪˈsɪprəkl/	They reached a reciprocal agreement.	그들은 상호 합의에 도달했다.	Reciprocal respect is important.	상호 존중이 중요하다.	
immiscible	adjective	혼합되지 않는	/ɪˈmɪsəbl/	Oil and water are immiscible.	기름과 물은 서로 섞이지 않는다.	The two liquids are immiscible.	그 두 액체는 혼합되지 않는다.	
precise	adjective	정확한	/prɪˈsaɪs/	The measurement is precise.	측정값이 정확하다.	Please give precise instructions.	정확한 지시를 내려 주세요.	
cohesive	adjective	응집성 있는	/koʊˈhiːsɪv/	The soil is cohesive.	그 흙은 응집성이 있다.	A cohesive team works efficiently.	응집력 있는 팀은 효율적으로 일한다.	
deviation	noun	일탈, 편차	/ˌdiːviˈeɪʃn/	The deviation was very small.	편차가 매우 작았다.	Standard deviation is widely used.	표준편차는 널리 사용된다.	
account for	verb	설명하다; 차지하다	/əˈkaʊnt fər/	This accounts for the difference.	이것이 그 차이를 설명한다.	Water accounts for most of the mixture.	물은 혼합물의 대부분을 차지한다.	
incorporate	verb	포함하다	/ɪnˈkɔːrpəreɪt/	The report incorporates new data.	보고서는 새로운 데이터를 포함한다.	The design incorporates safety features.	설계에는 안전 기능이 포함되어 있다.	
plot	verb	(그래프를) 그리다	/plɑːt/	Plot the data on a graph.	데이터를 그래프에 그려라.	The points were plotted accurately.	점들이 정확하게 표시되었다.	
concentric	adjective	동심의	/kənˈsentrɪk/	The circles are concentric.	그 원들은 동심원이다.	The rings are concentric.	고리들이 동심이다.	
journal bearing	noun	저널 베어링	/ˈdʒɜːrnl ˈberɪŋ/	The shaft rotates inside the journal bearing.	축이 저널 베어링 안에서 회전한다.	The journal bearing requires lubrication.	저널 베어링은 윤활이 필요하다.	
symmetry	noun	대칭, 균형	/ˈsɪmətri/	The crystal has perfect symmetry.	그 결정은 완벽한 대칭성을 가진다.	The design emphasizes symmetry.	그 디자인은 대칭을 강조한다.	
downstream	adjective,adverb	하류의; 하류로	/ˌdaʊnˈstriːm/	The downstream flow is slower.	하류의 흐름이 더 느리다.	The pollution spread downstream.	오염이 하류로 퍼졌다.	
wake	noun	후류, 항적	/weɪk/	The boat left a wake behind it.	배 뒤에 후류가 생겼다.	The aircraft flew through the wake.	항공기가 후류를 통과했다.	
approximate	adjective,verb	대략적인; 근사하다	/əˈprɑːksɪmət/	The approximate value is 10.	근사값은 10이다.	We approximated the result.	우리는 결과를 근사했다.	
irritate	verb	짜증나게 하다, 자극하다	/ˈɪrɪteɪt/	The smoke irritated my eyes.	연기가 눈을 자극했다.	Don't irritate him.	그를 짜증 나게 하지 마라.	
chaotic	adjective	혼돈스러운	/keɪˈɑːtɪk/	The traffic was chaotic.	교통이 매우 혼란스러웠다.	The system became chaotic.	시스템이 혼란스러워졌다.	
thermosiphon	noun	열사이펀	/ˈθɜːrmoʊˌsaɪfən/	A thermosiphon circulates fluid naturally.	열사이펀은 유체를 자연 순환시킨다.	The cooling system uses a thermosiphon.	냉각 시스템은 열사이펀을 사용한다.	
collector	noun	수집기, 집열기	/kəˈlektər/	The solar collector absorbs heat.	태양열 집열기가 열을 흡수한다.	The dust collector was cleaned.	집진기를 청소했다.	
uniform	adjective	균일한	/ˈjuːnɪfɔːrm/	The temperature is uniform.	온도가 균일하다.	Apply a uniform pressure.	균일한 압력을 가해라.	
